q,base_r100,base_r1e8,n40_r1e8
2.33,0.133954615761,0.0617679380265,0.0727237395758
2.34,0.135707506908,0.0655912649794,0.076451483355
2.35,0.137478067693,0.0694283928374,0.0801926830165
2.36,0.139265391653,0.0732718183331,0.0839400228748
2.37,0.141068567779,0.0771147867339,0.0876869170656
2.38,0.142886682388,0.0809512482893,0.0914274670821
2.39,0.144718820939,0.0847758113591,0.0951564160751
2.40,0.146564069818,0.0885836941087,0.098869101756
2.41,0.148421518057,0.0923706762045,0.102561409299
2.42,0.150290258991,0.0961330515627,0.106229725274
2.43,0.152169391862,0.099867582902,0.109870893329
2.44,0.154058023335,0.103571458602,0.113482172137
2.45,0.155955268952,0.107242252183,0.117061195878
2.46,0.157860254502,0.110877884569,0.120605937455
2.47,0.159772117316,0.114476589193,0.124114674463
2.48,0.161690007472,0.118036879917,0.127585957919
2.49,0.163613088923,0.121557521678,0.131018583636
2.50,0.165540540541,0.125037503749,0.134411566156
2.51,0.167471557067,0.128476015453,0.137764115067
2.52,0.169405349992,0.131872424174,0.141075613569
2.53,0.171341148344,0.135226255498,0.14434559911
2.54,0.173278199393,0.138537175315,0.147573745932
2.55,0.175215769283,0.141804973709,0.150759849367
2.56,0.177153143576,0.145029550489,0.153903811727
2.57,0.179089627729,0.148210902202,0.157005629647
2.58,0.181024547491,0.151349110494,0.160065382732
2.59,0.182957249229,0.15444433169,0.163083223397
2.60,0.184887100192,0.157496787459,0.166059367772
2.61,0.186813488698,0.160506756483,0.168994087571
2.62,0.188735824275,0.163474566996,0.171887702821
2.63,0.190653537727,0.166400590132,0.174740575379
2.64,0.192566081159,0.169285233982,0.177553103133
2.65,0.194472927936,0.17212893829,0.180325714833
2.66,0.196373572605,0.17493216973,0.183058865486
2.67,0.198267530767,0.177695417686,0.185753032244
2.68,0.200154338901,0.180419190508,0.188408710745
2.69,0.202033554163,0.183104012164,0.19102641186
2.70,0.203904754131,0.18575041927,0.193606658788
2.71,0.205767536537,0.188358958451,0.196149984489
2.72,0.20762151895,0.190930183992,0.198656929392
2.73,0.209466338449,0.19346465576,0.201128039366
2.74,0.21130165126,0.195962937357,0.203563863923
2.75,0.213127132377,0.198425594488,0.205964954626
2.76,0.214942475165,0.200853193523,0.208331863684
2.77,0.216747390942,0.203246300217,0.210665142712
2.78,0.218541608552,0.205605478601,0.212965341636
2.79,0.220324873925,0.207931289988,0.215233007739
2.80,0.222096949626,0.21022429212,0.217468684817
2.81,0.223857614392,0.212485038411,0.21967291245
2.82,0.225606662675,0.214714077296,0.221846225363
2.83,0.22734390417,0.216911951665,0.223989152873
2.84,0.229069163341,0.219079198375,0.226102218415
2.85,0.230782278953,0.221216347831,0.228185939136
2.86,0.232483103597,0.223323923637,0.230240825546
2.87,0.234171503218,0.22540244229,0.232267381233
2.88,0.23584735665,0.227452412941,0.234266102617
2.89,0.237510555149,0.229474337185,0.236237478756
2.90,0.239161001929,0.231468708904,0.238181991181
2.91,0.240798611716,0.233436014135,0.240100113782
2.92,0.242423310289,0.23537673098,0.241992312705
2.93,0.244035034044,0.237291329534,0.243859046296
2.94,0.245633729559,0.23918027185,0.245700765054
2.95,0.247219353165,0.241044011914,0.247517911616
2.96,0.248791870531,0.242882995649,0.249310920758
2.97,0.25035125625,0.244697660934,0.25108021941
2.98,0.251897493445,0.246488437635,0.252826226695
2.99,0.253430573373,0.248255747658,0.254549353966
3.00,0.25495049505,0.250000005,0.256250004875
