mode,distance,seed,correlation,sign_fidelity,response_effect,shuffled_effect
fast_dial,40,5,0.0010210897436276826,0.5016,0.00012721798044901256,-0.00097703049865272
fast_dial,40,6,0.0017828933950216118,0.5007,0.00022346001956619066,0.0018726758104771202
fast_dial,40,7,0.01153593946043863,0.5078,0.0014717932955363722,0.0014001485354705467
fast_dial,40,8,0.01254991014627329,0.5052,0.0015605076487208436,0.001698643487728857
fast_dial,40,9,0.004269080525863943,0.4991,0.0005160875788490227,0.0014599608200446257
fast_dial,100,0,-0.009858231739017419,0.4928,-0.001245992841318433,0.00017318463694149244
fast_dial,100,1,0.0030001144590177586,0.499,0.0003745549464327924,-0.0012227435941514209
fast_dial,100,2,-0.006627907550795738,0.4912,-0.0008567809151069916,0.0003331309451881648
fast_dial,100,3,0.005801012141812278,0.5031,0.0007338912582042223,0.0015131509067605187
fast_dial,100,4,0.0018573812083107336,0.5048,0.0002529258496850595,-0.0021781400412768104
fast_dial,100,5,0.0009738277417947719,0.5016,0.00012117426127322695,-0.0009770112024954924
fast_dial,100,6,0.001736010485156438,0.5007,0.00021741784163009648,0.0018726960077734
fast_dial,100,7,0.011488106002743751,0.5078,0.0014657471862187244,0.0014001003861021655
fast_dial,100,8,0.012501920120698532,0.5051,0.0015544608440902774,0.0016986801564340404
fast_dial,100,9,0.0042214297724146735,0.4991,0.0005100423066730642,0.0014599733924270941
