mode,control,seed,generation,positive_fraction,mean_response,parent_child_corr,total_flow,work_in,work_spent,duration
gated,faithful,2,8,0.90234375,1.3064226486853272,0.7578530086041183,1.0,256.0,256.0,256.0
gated,faithful,2,9,0.9296875,1.3272474888872425,0.6941047302231981,1.0,256.0,256.0,256.0
gated,faithful,2,10,0.93359375,1.3302224660589448,0.5808715561170837,1.0,256.0,256.0,256.0
gated,faithful,2,11,0.9140625,1.315347580200434,0.6910506641398757,1.0000000000000004,256.0,256.0,256.0
gated,faithful,2,12,0.890625,1.2974977171702207,0.6313030844712612,0.9999999999999997,256.0,256.0,256.0
gated,faithful,2,13,0.92578125,1.3242725117155405,0.5486836773298674,1.0000000000000002,256.0,256.0,256.0
gated,faithful,2,14,0.94140625,1.3361724204023493,0.6243258086835676,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,15,0.92578125,1.3242725117155405,0.5471457036773948,1.0,256.0,256.0,256.0
gated,faithful,2,16,0.92578125,1.3242725117155403,0.59217043254409,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,17,0.92578125,1.3242725117155405,0.6741711297025709,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,18,0.88671875,1.2945227399985186,0.7685401048710852,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,19,0.8984375,1.303447671513625,0.5026795124030796,1.0000000000000002,256.0,256.0,256.0
gated,faithful,2,20,0.91796875,1.3183225573721362,0.5684291469292323,1.0000000000000002,256.0,256.0,256.0
gated,faithful,2,21,0.8828125,1.2915477628268162,0.553383286999728,1.0,256.0,256.0,256.0
gated,faithful,2,22,0.8828125,1.2915477628268162,0.5512238236775274,1.0,256.0,256.0,256.0
gated,faithful,2,23,0.8984375,1.303447671513625,0.687932430407656,1.0,256.0,256.0,256.0
gated,faithful,2,24,0.90625,1.3093976258570295,0.8027729719194864,1.0000000000000002,256.0,256.0,256.0
gated,faithful,2,25,0.9453125,1.3391473975740515,0.5238095238095237,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,26,0.90625,1.3093976258570295,0.5212999917439435,1.0,256.0,256.0,256.0
gated,faithful,2,27,0.921875,1.3212975345438382,0.6557129815475979,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,28,0.89453125,1.3004726943419227,0.7256384160187582,1.0,256.0,256.0,256.0
gated,faithful,2,29,0.92578125,1.3242725117155405,0.7120816903707273,1.0,256.0,256.0,256.0
gated,faithful,2,30,0.9375,1.333197443230647,0.5466303878092528,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,31,0.93359375,1.3302224660589448,0.6305449790265228,1.0000000000000004,256.0,256.0,256.0
gated,faithful,2,32,0.93359375,1.3302224660589448,0.6286715920942785,1.0000000000000004,256.0,256.0,256.0
gated,faithful,2,33,0.94921875,1.3421223747457538,0.7249045189755269,1.0000000000000004,256.0,256.0,256.0
gated,faithful,2,34,0.9140625,1.315347580200434,0.5468682727146317,1.0000000000000002,256.0,256.0,256.0
gated,faithful,2,35,0.90625,1.3093976258570295,0.718606711486353,0.9999999999999997,256.0,256.0,256.0
gated,faithful,2,36,0.9296875,1.3272474888872425,0.3349301488596979,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,37,0.9296875,1.3272474888872425,0.5132162126441071,1.0,256.0,256.0,256.0
gated,faithful,2,38,0.89453125,1.300472694341923,0.5577537352452707,1.0,256.0,256.0,256.0
